id,corresponding_id
face_0,face_0
face_1,face_1
face_2,face_2
face_3,face_248
face_4,face_4
face_5,face_5
face_6,face_6
face_7,face_249
face_8,face_8
face_9,face_9
face_10,face_10
face_11,face_11
face_12,face_12
face_13,face_13
face_14,face_14
face_15,face_15
face_16,face_16
face_17,face_17
face_18,face_18
face_19,face_19
face_20,face_250
face_21,face_251
face_22,face_252
face_23,face_253
face_24,face_254
face_25,face_255
face_26,face_256
face_27,face_257
face_28,face_258
face_29,face_259
face_30,face_260
face_31,face_261
face_32,face_262
face_33,face_263
face_34,face_264
face_35,face_265
face_36,face_266
face_37,face_267
face_38,face_268
face_39,face_269
face_40,face_270
face_41,face_271
face_42,face_272
face_43,face_273
face_44,face_274
face_45,face_275
face_46,face_276
face_47,face_277
face_48,face_278
face_49,face_279
face_50,face_280
face_51,face_281
face_52,face_282
face_53,face_283
face_54,face_284
face_55,face_285
face_56,face_286
face_57,face_287
face_58,face_288
face_59,face_289
face_60,face_290
face_61,face_291
face_62,face_292
face_63,face_293
face_64,face_294
face_65,face_295
face_66,face_296
face_67,face_297
face_68,face_298
face_69,face_299
face_70,face_300
face_71,face_301
face_72,face_302
face_73,face_303
face_74,face_304
face_75,face_305
face_76,face_306
face_77,face_307
face_78,face_308
face_79,face_309
face_80,face_310
face_81,face_311
face_82,face_312
face_83,face_313
face_84,face_314
face_85,face_315
face_86,face_316
face_87,face_317
face_88,face_318
face_89,face_319
face_90,face_320
face_91,face_321
face_92,face_322
face_93,face_323
face_94,face_94
face_95,face_324
face_96,face_325
face_97,face_326
face_98,face_327
face_99,face_328
face_100,face_329
face_101,face_330
face_102,face_331
face_103,face_332
face_104,face_333
face_105,face_334
face_106,face_335
face_107,face_336
face_108,face_337
face_109,face_338
face_110,face_339
face_111,face_340
face_112,face_341
face_113,face_342
face_114,face_343
face_115,face_344
face_116,face_345
face_117,face_346
face_118,face_347
face_119,face_348
face_120,face_349
face_121,face_350
face_122,face_351
face_123,face_352
face_124,face_353
face_125,face_354
face_126,face_355
face_127,face_356
face_128,face_357
face_129,face_358
face_130,face_359
face_131,face_360
face_132,face_361
face_133,face_362
face_134,face_363
face_135,face_364
face_136,face_365
face_137,face_366
face_138,face_367
face_139,face_368
face_140,face_369
face_141,face_370
face_142,face_371
face_143,face_372
face_144,face_373
face_145,face_374
face_146,face_375
face_147,face_376
face_148,face_377
face_149,face_378
face_150,face_379
face_151,face_151
face_152,face_152
face_153,face_380
face_154,face_381
face_155,face_382
face_156,face_383
face_157,face_384
face_158,face_385
face_159,face_386
face_160,face_387
face_161,face_388
face_162,face_389
face_163,face_390
face_164,face_164
face_165,face_391
face_166,face_392
face_167,face_393
face_168,face_168
face_169,face_394
face_170,face_395
face_171,face_396
face_172,face_397
face_173,face_398
face_174,face_399
face_175,face_175
face_176,face_400
face_177,face_401
face_178,face_402
face_179,face_403
face_180,face_404
face_181,face_405
face_182,face_406
face_183,face_407
face_184,face_408
face_185,face_409
face_186,face_410
face_187,face_411
face_188,face_412
face_189,face_413
face_190,face_414
face_191,face_415
face_192,face_416
face_193,face_417
face_194,face_418
face_195,face_195
face_196,face_419
face_197,face_197
face_198,face_420
face_199,face_199
face_200,face_200
face_201,face_421
face_202,face_422
face_203,face_423
face_204,face_424
face_205,face_425
face_206,face_426
face_207,face_427
face_208,face_428
face_209,face_429
face_210,face_430
face_211,face_431
face_212,face_432
face_213,face_433
face_214,face_434
face_215,face_435
face_216,face_436
face_217,face_437
face_218,face_438
face_219,face_439
face_220,face_440
face_221,face_441
face_222,face_442
face_223,face_443
face_224,face_444
face_225,face_445
face_226,face_446
face_227,face_447
face_228,face_448
face_229,face_449
face_230,face_450
face_231,face_451
face_232,face_452
face_233,face_453
face_234,face_454
face_235,face_455
face_236,face_456
face_237,face_457
face_238,face_458
face_239,face_459
face_240,face_460
face_241,face_461
face_242,face_462
face_243,face_463
face_244,face_464
face_245,face_465
face_246,face_466
face_247,face_467
face_248,face_3
face_249,face_7
face_250,face_20
face_251,face_21
face_252,face_22
face_253,face_23
face_254,face_24
face_255,face_25
face_256,face_26
face_257,face_27
face_258,face_28
face_259,face_29
face_260,face_30
face_261,face_31
face_262,face_32
face_263,face_33
face_264,face_34
face_265,face_35
face_266,face_36
face_267,face_37
face_268,face_38
face_269,face_39
face_270,face_40
face_271,face_41
face_272,face_42
face_273,face_43
face_274,face_44
face_275,face_45
face_276,face_46
face_277,face_47
face_278,face_48
face_279,face_49
face_280,face_50
face_281,face_51
face_282,face_52
face_283,face_53
face_284,face_54
face_285,face_55
face_286,face_56
face_287,face_57
face_288,face_58
face_289,face_59
face_290,face_60
face_291,face_61
face_292,face_62
face_293,face_63
face_294,face_64
face_295,face_65
face_296,face_66
face_297,face_67
face_298,face_68
face_299,face_69
face_300,face_70
face_301,face_71
face_302,face_72
face_303,face_73
face_304,face_74
face_305,face_75
face_306,face_76
face_307,face_77
face_308,face_78
face_309,face_79
face_310,face_80
face_311,face_81
face_312,face_82
face_313,face_83
face_314,face_84
face_315,face_85
face_316,face_86
face_317,face_87
face_318,face_88
face_319,face_89
face_320,face_90
face_321,face_91
face_322,face_92
face_323,face_93
face_324,face_95
face_325,face_96
face_326,face_97
face_327,face_98
face_328,face_99
face_329,face_100
face_330,face_101
face_331,face_102
face_332,face_103
face_333,face_104
face_334,face_105
face_335,face_106
face_336,face_107
face_337,face_108
face_338,face_109
face_339,face_110
face_340,face_111
face_341,face_112
face_342,face_113
face_343,face_114
face_344,face_115
face_345,face_116
face_346,face_117
face_347,face_118
face_348,face_119
face_349,face_120
face_350,face_121
face_351,face_122
face_352,face_123
face_353,face_124
face_354,face_125
face_355,face_126
face_356,face_127
face_357,face_128
face_358,face_129
face_359,face_130
face_360,face_131
face_361,face_132
face_362,face_133
face_363,face_134
face_364,face_135
face_365,face_136
face_366,face_137
face_367,face_138
face_368,face_139
face_369,face_140
face_370,face_141
face_371,face_142
face_372,face_143
face_373,face_144
face_374,face_145
face_375,face_146
face_376,face_147
face_377,face_148
face_378,face_149
face_379,face_150
face_380,face_153
face_381,face_154
face_382,face_155
face_383,face_156
face_384,face_157
face_385,face_158
face_386,face_159
face_387,face_160
face_388,face_161
face_389,face_162
face_390,face_163
face_391,face_165
face_392,face_166
face_393,face_167
face_394,face_169
face_395,face_170
face_396,face_171
face_397,face_172
face_398,face_173
face_399,face_174
face_400,face_176
face_401,face_177
face_402,face_178
face_403,face_179
face_404,face_180
face_405,face_181
face_406,face_182
face_407,face_183
face_408,face_184
face_409,face_185
face_410,face_186
face_411,face_187
face_412,face_188
face_413,face_189
face_414,face_190
face_415,face_191
face_416,face_192
face_417,face_193
face_418,face_194
face_419,face_196
face_420,face_198
face_421,face_201
face_422,face_202
face_423,face_203
face_424,face_204
face_425,face_205
face_426,face_206
face_427,face_207
face_428,face_208
face_429,face_209
face_430,face_210
face_431,face_211
face_432,face_212
face_433,face_213
face_434,face_214
face_435,face_215
face_436,face_216
face_437,face_217
face_438,face_218
face_439,face_219
face_440,face_220
face_441,face_221
face_442,face_222
face_443,face_223
face_444,face_224
face_445,face_225
face_446,face_226
face_447,face_227
face_448,face_228
face_449,face_229
face_450,face_230
face_451,face_231
face_452,face_232
face_453,face_233
face_454,face_234
face_455,face_235
face_456,face_236
face_457,face_237
face_458,face_238
face_459,face_239
face_460,face_240
face_461,face_241
face_462,face_242
face_463,face_243
face_464,face_244
face_465,face_245
face_466,face_246
face_467,face_247
left_hand_0,right_hand_0
left_hand_1,right_hand_1
left_hand_2,right_hand_2
left_hand_3,right_hand_3
left_hand_4,right_hand_4
left_hand_5,right_hand_5
left_hand_6,right_hand_6
left_hand_7,right_hand_7
left_hand_8,right_hand_8
left_hand_9,right_hand_9
left_hand_10,right_hand_10
left_hand_11,right_hand_11
left_hand_12,right_hand_12
left_hand_13,right_hand_13
left_hand_14,right_hand_14
left_hand_15,right_hand_15
left_hand_16,right_hand_16
left_hand_17,right_hand_17
left_hand_18,right_hand_18
left_hand_19,right_hand_19
left_hand_20,right_hand_20
pose_0,pose_0
pose_1,pose_4
pose_2,pose_5
pose_3,pose_6
pose_4,pose_1
pose_5,pose_2
pose_6,pose_3
pose_7,pose_8
pose_8,pose_7
pose_9,pose_10
pose_10,pose_9
pose_11,pose_12
pose_12,pose_11
pose_13,pose_14
pose_14,pose_13
pose_15,pose_16
pose_16,pose_15
pose_17,pose_18
pose_18,pose_17
pose_19,pose_20
pose_20,pose_19
pose_21,pose_22
pose_22,pose_21
pose_23,pose_24
pose_24,pose_23
pose_25,pose_26
pose_26,pose_25
pose_27,pose_28
pose_28,pose_27
pose_29,pose_30
pose_30,pose_29
pose_31,pose_32
pose_32,pose_31
right_hand_0,left_hand_0
right_hand_1,left_hand_1
right_hand_2,left_hand_2
right_hand_3,left_hand_3
right_hand_4,left_hand_4
right_hand_5,left_hand_5
right_hand_6,left_hand_6
right_hand_7,left_hand_7
right_hand_8,left_hand_8
right_hand_9,left_hand_9
right_hand_10,left_hand_10
right_hand_11,left_hand_11
right_hand_12,left_hand_12
right_hand_13,left_hand_13
right_hand_14,left_hand_14
right_hand_15,left_hand_15
right_hand_16,left_hand_16
right_hand_17,left_hand_17
right_hand_18,left_hand_18
right_hand_19,left_hand_19
right_hand_20,left_hand_20
